1,"When you realize nothing is lacking, the whole world belongs to you",1,Lao Tzu
2,Let go or be dragged,2,Zen proverb
3,What the superior man seeks is in himself; what the small man seeks is in others,3,Confucius
4,To seek is to suffer. To seek nothing is bliss.,4,Bodhidharma
5,Mind is like a mad monkey,5,Sathya Sai Baba
